,Ka,Ku,SicRG,Mus,Aid,Scal,Sal,Ncal,Cam,It,Sp,Fr,Ptg,Rm,Lat,ClG,NTG,Gri,BoG,Grk,RPG,CyG,Got,OE,E,D,Da,Ice,Nor,Blg,SC,Slo,Po,Rus,Ir,Wel,Ma,Hi,Far,Pas,Man,Can,Inu,Jap,Ar,Heb,Hu,Est,Fin,Tur,Bur,cB,wB,Wo,Qui,ChK,Mal
FGT,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DGP,+,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,+,-,0
TCL,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPL,0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+
TSL,0,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,+,+,-,0,-,+,+,+,+,+,+,+,-,-,-,-,-,0,0,+,+,+,+,+,+,-,-,-,0,+,+,+,+,+,+,+,+,+,+,+
TAD,0,0,0,0,0,0,0,0,0,0,+,0,0,+,+,+,+,0,0,-,0,-,0,0,0,0,0,0,0,+,+,+,+,+,+,+,0,0,0,0,0,0,-,+,+,+,0,0,0,0,0,0,0,0,0,0,0
TSP,0,0,+,+,+,+,+,+,+,+,+,+,+,+,0,-,-,+,-,-,-,-,0,+,+,+,+,+,+,+,0,0,0,0,-,-,0,0,0,0,0,0,0,0,-,+,-,0,0,0,0,+,+,+,0,0,+
TDL,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,+
ELI,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-
AST,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-
